factor,method,ate,se,tvalue,pvalue,ci_lower,ci_upper,ols_beta,ols_se,ols_pvalue,n,resid_D_mean,resid_D_std,econml_used,propensity_overlap,dml_balanced,dml_overlap_ok,dml_valid,first_stage_f,first_stage_f_pvalue,sargan_stat,sargan_pvalue,iv_valid,beta1,beta2,beta1_pvalue,beta2_pvalue,identification_pass,fd_valid,ite_mean,ite_std,ite_q10,ite_q90,cf_valid,ite_q01,ite_q99
ROA,DML,-0.006880871014023933,0.005967819723675159,-1.1529957895220218,0.24914134463485635,-0.018589372514900667,0.0048276304868528006,-0.0011753706600623245,0.004925183586663095,0.8114220259002666,1204,-0.0026363860574630882,0.5171006704793585,False,0.9204593204659531,True,True,True,,,,,,,,,,,,,,,,,,
ROA,IV,-0.006357261709109417,0.00572819431940457,-1.1098194919075715,0.2673742499642553,-0.017599485583874596,0.0048849621656557604,,,,914,,,,,,,,2211.461364856136,0.0,3.105343194348576,0.07803578266568689,False,,,,,,,,,,,,,
ROA,FrontDoor,0.0018443673535921536,0.0019582698304179053,0.9418351469973654,0.34646629368481197,-0.0019938415140269405,0.005682576221211248,,,,1204,,,,,,,,,,,,,0.0020355711856000487,0.9060687077118692,0.34550196545774453,4.372871228249491e-46,False,False,,,,,,,
ROA,CausalForest,-0.007046028193810956,0.0059438395109509224,-1.185433789191206,0.23608027729674277,-0.018695953635274765,0.004603897247652852,,,,1204,,,False,,,,,,,,,,,,,,,,0.017632711137171284,0.4964634323091685,-0.18075220650739915,0.1979523712211892,True,-2.0933426240805457,2.6982137281820817
VOL20,DML,0.006325308660219152,0.004537061621443498,1.3941421095812032,0.1635323417271028,-0.0025761319435407756,0.01522674926397908,0.007738286953837201,0.00427491793605852,0.07052372003757283,1204,-0.0032509831063075837,0.6784892066191899,False,0.9387428359297698,True,True,True,,,,,,,,,,,,,,,,,,
VOL20,IV,-0.013938825777926666,0.0137797011316166,-1.011547757443372,0.3120271113635491,-0.040983034897056514,0.013105383341203182,,,,914,,,,,,,,60.5846811678951,2.0979886399798507e-25,0.645394100845353,0.42176423812964503,True,,,,,,,,,,,,,
VOL20,FrontDoor,-0.003616246108051644,0.0017136201607868703,-2.1102961967902587,0.03503902188740726,-0.00697494162319391,-0.00025755059290937833,,,,1204,,,,,,,,,,,,,-0.003991138947045041,0.9060687077128797,0.03322637878524243,4.372871212789226e-46,False,False,,,,,,,
VOL20,CausalForest,0.006476360204949088,0.00453127332844123,1.429258342086588,0.15318982465364403,-0.002404935518795722,0.015357655928693897,,,,1204,,,False,,,,,,,,,,,,,,,,0.017776098592816873,0.44178144989214974,-0.24196553665630907,0.23754701520741273,True,-1.8581472636749066,2.300895999151372
TURN20,DML,0.019497953557568958,0.004532090422936412,4.302198707001068,1.828349725893183e-05,0.01060626614473577,0.028389640970402148,0.01702524067368549,0.004640265473846198,0.0002542762649258824,1204,0.0008072198340059432,0.6758448786574046,False,0.932190910182027,True,True,True,,,,,,,,,,,,,,,,,,
TURN20,IV,0.019361305221506288,0.0066202726286729175,2.9245480220332563,0.0035364252644557383,0.0063682776017209425,0.03235433284129163,,,,914,,,,,,,,808.7720140320728,2.021332357761335e-201,5.089270281750644,0.024074319618202833,False,,,,,,,,,,,,,
TURN20,FrontDoor,-0.0002998022696979518,0.0018413998264410346,-0.16281215268570684,0.8706937061915299,-0.00390894592952238,0.0033093413901264758,,,,1204,,,,,,,,,,,,,-0.0003308824895351725,0.9060687077128724,0.8706863870897378,4.372871212792214e-46,False,False,,,,,,,
TURN20,CausalForest,0.019482394866194068,0.004528885855077337,4.301807439980485,1.8315327200714402e-05,0.010605778590242488,0.028359011142145646,,,,1204,,,False,,,,,,,,,,,,,,,,0.009886647114487437,0.4775518866069665,-0.19849082295887566,0.22951855056219633,True,-2.8084761519680974,2.107586509317703
LIQ20,DML,-0.004924419901291907,0.004431444571529586,-1.1112448371642754,0.2666852016793812,-0.013618646238419522,0.0037698064358357083,-0.003953847049635352,0.00437870334969896,0.366723892811276,1204,0.0010239759470971857,0.6919892826862951,False,0.924595686634467,True,True,True,,,,,,,,,,,,,,,,,,
LIQ20,IV,-0.009338029392113555,0.005298760307773251,-1.7623045485591637,0.07835840359311069,-0.019737440850085643,0.0010613820658585352,,,,914,,,,,,,,2980.1466985088055,0.0,0.05380325572987821,0.8165727415490664,False,,,,,,,,,,,,,
LIQ20,FrontDoor,-0.0005085311367277701,0.0017378357621771422,-0.2926232431140027,0.769860649351017,-0.003914689230594968,0.0028976269571394284,,,,1204,,,,,,,,,,,,,-0.0005612500822497399,0.9060687077128811,0.7698180751496976,4.372871212785922e-46,False,False,,,,,,,
LIQ20,CausalForest,-0.0049012071746289835,0.004425479226329891,-1.1074974989078459,0.26830046424450676,-0.01357514645823557,0.003772732108977603,,,,1204,,,False,,,,,,,,,,,,,,,,0.03498012090760525,0.6394189255614373,-0.27213761627642125,0.29956816521080315,True,-2.6149518241045264,3.595254550738055
GROWTH,DML,0.0018950577629345514,0.003445740581705534,0.5499711072261153,0.582441365741541,-0.004865276938946459,0.00865539246481556,0.0027640412700764235,0.003486097219133239,0.42800877449804753,1204,-0.009903898493490633,0.8965556629746889,False,0.8912934152411185,True,True,True,,,,,,,,,,,,,,,,,,
GROWTH,IV,0.0063998078628514895,0.004734322951591267,1.351789459293315,0.17678343848044972,-0.0028918319715249058,0.015691447697227884,,,,914,,,,,,,,1029.4862427667897,6.699564533922405e-233,2.0226263687928054,0.15497089972241784,False,,,,,,,,,,,,,
GROWTH,FrontDoor,0.0007327373114210831,0.0013841830007192114,0.5293644778474798,0.5966503833394843,-0.001980261369988571,0.0034457359928307374,,,,1204,,,,,,,,,,,,,0.000808699500582736,0.9060687077129196,0.5964193921207429,4.372871212758233e-46,False,False,,,,,,,
GROWTH,CausalForest,0.0019470596222780664,0.003438876881129516,0.5661905585984646,0.5713699363127941,-0.0047931390647357845,0.008687258309291918,,,,1204,,,False,,,,,,,,,,,,,,,,0.03969965954992221,0.5536793867574973,-0.20024041596206657,0.2885062581220303,True,-2.485599834645491,2.97659145397183
REV5,DML,0.0016945208962870517,0.0033170287717993645,0.5108550491613123,0.6095463697428724,-0.004813289016098661,0.008202330808672765,0.00045455038721225853,0.0034155557225430742,0.894150763191565,1204,-0.0010495041059607674,0.9294661837551218,False,0.9179174707369211,True,True,True,,,,,,,,,,,,,,,,,,
REV5,IV,0.019815019028434844,0.010883305774187649,1.8206801719594132,0.06898855575942846,-0.001544689317433616,0.041174727374303305,,,,914,,,,,,,,61.199063388086415,1.2215386044240255e-25,9.86089230584273,0.001688292014884074,False,,,,,,,,,,,,,
REV5,FrontDoor,-0.001287522112889192,0.0013580727654072923,-0.9480509039609952,0.3432940986193207,-0.003949344733087485,0.0013743005073091007,,,,1204,,,,,,,,,,,,,-0.0014209983215723399,0.9060687077128593,0.3423162793946446,4.372871212804171e-46,False,False,,,,,,,
REV5,CausalForest,0.0015966548977076123,0.003313336070942695,0.48188739793405244,0.6299736647498898,-0.004897483801340069,0.008090793596755293,,,,1204,,,False,,,,,,,,,,,,,,,,0.027262629063913146,0.7601158313328685,-0.3231037917988369,0.3748311174292468,True,-3.6263361537653336,4.21758423916187
